cryptopp-devel 5.6.3 4.fc24 x86_64
cryptsetup 1.7.4 1.fc24 x86_64
cryptsetup-libs 1.7.4 1.fc24 x86_64
cuda 8.0.61 1.fc24 x86_64
cuda-cublas 8.0.61 1.fc24 x86_64
cuda-cublas-devel 8.0.61 1.fc24 x86_64
cuda-cudart 8.0.61 1.fc24 x86_64
cuda-cudart-devel 8.0.61 1.fc24 x86_64
cuda-cufft 8.0.61 1.fc24 x86_64
cuda-cufft-devel 8.0.61 1.fc24 x86_64
cuda-cupti 8.0.61 1.fc24 x86_64
cuda-cupti-devel 8.0.61 1.fc24 x86_64
cuda-curand 8.0.61 1.fc24 x86_64
cuda-curand-devel 8.0.61 1.fc24 x86_64
cuda-cusolver 8.0.61 1.fc24 x86_64
cuda-cusolver-devel 8.0.61 1.fc24 x86_64
cuda-cusparse 8.0.61 1.fc24 x86_64
cuda-cusparse-devel 8.0.61 1.fc24 x86_64
cuda-devel 8.0.61 1.fc24 x86_64
cuda-libs 8.0.61 1.fc24 x86_64
cuda-npp 8.0.61 1.fc24 x86_64
cuda-npp-devel 8.0.61 1.fc24 x86_64
cuda-nvgraph 8.0.61 1.fc24 x86_64
cuda-nvgraph-devel 8.0.61 1.fc24 x86_64
cuda-nvml-devel 8.0.61 1.fc24 x86_64
cuda-nvrtc 8.0.61 1.fc24 x86_64
cuda-nvrtc-devel 8.0.61 1.fc24 x86_64
cuda-samples 8.0.61 1.fc24 x86_64
cups 2.1.4 3.fc24 x86_64
cups-client 2.1.4 3.fc24 x86_64
cups-filesystem 2.1.4 3.fc24 noarch
cups-filters 1.9.0 1.fc24 x86_64
cups-filters-libs 1.9.0 1.fc24 x86_64
cups-libs 2.1.4 3.fc24 i686
cups-libs 2.1.4 3.fc24 x86_64
cups-pk-helper 0.2.6 1.fc24 x86_64
curl 7.47.1 10.fc24 x86_64
cyrus-sasl 2.1.26 26.2.fc24 x86_64
cyrus-sasl-gssapi 2.1.26 26.2.fc24 x86_64
cyrus-sasl-lib 2.1.26 26.2.fc24 x86_64
cyrus-sasl-plain 2.1.26 26.2.fc24 x86_64
dbus 1.11.10 1.fc24 x86_64
dbus-glib 0.108 1.fc24 x86_64
dbus-libs 1.11.10 1.fc24 i686
dbus-libs 1.11.10 1.fc24 x86_64
dbusmenu-qt 0.9.3 0.11.20150604.fc24 x86_64
dbusmenu-qt5 0.9.3 0.11.20150604.fc24 x86_64
dbus-python 1.2.4 1.fc24 x86_64
dbus-x11 1.11.10 1.fc24 x86_64
dconf 0.26.0 1.fc24 x86_64
dcraw 9.27.0 1.fc24 x86_64
dejavu-fonts-common 2.35 3.fc24 noarch
dejavu-sans-fonts 2.35 3.fc24 noarch
dejavu-sans-mono-fonts 2.35 3.fc24 noarch
dejavu-serif-fonts 2.35 3.fc24 noarch
deltarpm 3.6 15.fc24 x86_64
desktop-backgrounds-compat 24.0.0 1.fc24 noarch
desktop-file-utils 0.23 2.fc24 x86_64
device-mapper 1.02.122 2.fc24 x86_64
device-mapper-event 1.02.122 2.fc24 x86_64
device-mapper-event-libs 1.02.122 2.fc24 x86_64
device-mapper-libs 1.02.122 2.fc24 x86_64
device-mapper-multipath 0.4.9 81.fc24 x86_64
device-mapper-multipath-libs 0.4.9 81.fc24 x86_64
device-mapper-persistent-data 0.6.3 1.fc24 x86_64
dhcp-client 4.3.4 3.fc24 x86_64
dhcp-common 4.3.4 3.fc24 noarch
dhcp-compat 4.3.4 3.fc24 x86_64
dhcp-libs 4.3.4 3.fc24 x86_64
dhcp-relay 4.3.4 3.fc24 x86_64
dhcp-server 4.3.4 3.fc24 x86_64
diffutils 3.3 13.fc24 x86_64
dkms 2.3 1.20161202gitde1dca9.fc24 noarch
dmidecode 3.0 6.fc24 x86_64
dmraid 1.0.0.rc16 30.fc24 x86_64
dmraid-events 1.0.0.rc16 30.fc24 x86_64
dnf 1.1.10 4.fc24 noarch
dnf-conf 1.1.10 4.fc24 noarch
dnf-langpacks 0.15.1 4.fc24 noarch
dnf-langpacks-conf 0.15.1 4.fc24 noarch
dnf-plugins-core 0.1.21 5.fc24 noarch
dnf-yum 1.1.10 4.fc24 noarch
dnsmasq 2.76 2.fc24 x86_64
docbook-dtds 1.0 65.fc24 noarch
docbook-style-xsl 1.78.1 5.fc24 noarch
dos2unix 7.3.3 1.fc24 x86_64
dosfstools 3.0.28 3.fc24 x86_64
double-conversion 2.0.1 7.fc24 x86_64
dovecot 2.2.28 1.fc24 x86_64
doxygen 1.8.11 4.fc24 x86_64
doxygen-doxywizard 1.8.11 4.fc24 x86_64
dracut 044 21.fc24 x86_64
dracut-config-rescue 044 21.fc24 x86_64
dracut-live 044 21.fc24 x86_64
dracut-network 044 21.fc24 x86_64
drpm 0.3.0 3.fc24 x86_64
dwz 0.12 2.fc24 x86_64
e2fsprogs 1.42.13 4.fc24 x86_64
e2fsprogs-libs 1.42.13 4.fc24 x86_64
ebtables 2.0.10 20.fc24 x86_64
ecj 4.6 1.fc24 noarch
ed 1.12 2.fc24 x86_64
efibootmgr 14 3.fc24 x86_64
efivar-libs 30 4.fc24 x86_64
elfutils 0.168 1.fc24 x86_64
elfutils-default-yama-scope 0.168 1.fc24 noarch
elfutils-libelf 0.168 1.fc24 i686
elfutils-libelf 0.168 1.fc24 x86_64
elfutils-libs 0.168 1.fc24 x86_64
elinks 0.12 0.48.pre6.fc24 x86_64
emacs-filesystem 25.1 2.fc24 noarch
enchant 1.6.0 13.fc24 i686
enchant 1.6.0 13.fc24 x86_64
esmtp 1.2 5.fc24 x86_64
ethtool 4.2 2.fc24 x86_64
exiv2-libs 0.25 3.fc24 x86_64
expat 2.1.1 2.fc24 i686
expat 2.1.1 2.fc24 x86_64
expect 5.45 22.fc24 x86_64
f24-backgrounds-base 24.1.2 1.fc24 noarch
faad2-libs 2.7 6.fc24 x86_64
